 ,mixture_ID,mixture_path,source_1_path,source_2_path,noise_path,length
Data 1 Target1No 10Cycle No 11Group Depth1400m_Data 2 Target2No 1Cycle No 10Group Depth1200m.wav,Data 1 Target1No 10Cycle No 11Group Depth1400m_Data 2 Target2No 1Cycle No 10Group Depth1200m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1400m_Data 2 Target2No 1Cycle No 10Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 1Cycle No 10Group Depth1200m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1953.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth1400m_Data 2 Target2No 7Cycle No 3Group Depth500m.wav,Data 1 Target1No 10Cycle No 11Group Depth1400m_Data 2 Target2No 7Cycle No 3Group Depth500m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1400m_Data 2 Target2No 7Cycle No 3Group Depth500m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 7Cycle No 3Group Depth500m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise285.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth1500m_Data 2 Target2No 10Cycle No 10Group Depth1300m.wav,Data 1 Target1No 10Cycle No 11Group Depth1500m_Data 2 Target2No 10Cycle No 10Group Depth1300m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1500m_Data 2 Target2No 10Cycle No 10Group Depth1300m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 10Cycle No 10Group Depth1300m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise508.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth1500m_Data 2 Target2No 5Cycle No 11Group Depth500m.wav,Data 1 Target1No 10Cycle No 11Group Depth1500m_Data 2 Target2No 5Cycle No 11Group Depth500m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth1500m_Data 2 Target2No 5Cycle No 11Group Depth500m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 11Group Depth500m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise170.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth300m_Data 2 Target2No 4Cycle No 17Group Depth600m.wav,Data 1 Target1No 10Cycle No 11Group Depth300m_Data 2 Target2No 4Cycle No 17Group Depth600m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth300m_Data 2 Target2No 4Cycle No 17Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth300m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 4Cycle No 17Group Depth600m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1406.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth600m_Data 2 Target2No 2Cycle No 14Group Depth400m.wav,Data 1 Target1No 10Cycle No 11Group Depth600m_Data 2 Target2No 2Cycle No 14Group Depth400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth600m_Data 2 Target2No 2Cycle No 14Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 2Cycle No 14Group Depth400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2242.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth600m_Data 2 Target2No 2Cycle No 6Group Depth400m.wav,Data 1 Target1No 10Cycle No 11Group Depth600m_Data 2 Target2No 2Cycle No 6Group Depth400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth600m_Data 2 Target2No 2Cycle No 6Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 2Cycle No 6Group Depth400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2362.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth800m_Data 2 Target2No 6Cycle No 1Group Depth600m.wav,Data 1 Target1No 10Cycle No 11Group Depth800m_Data 2 Target2No 6Cycle No 1Group Depth600m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth800m_Data 2 Target2No 6Cycle No 1Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth800m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 6Cycle No 1Group Depth600m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2484.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 5Cycle No 3Group Depth1100m.wav,Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 5Cycle No 3Group Depth1100m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 5Cycle No 3Group Depth1100m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 3Group Depth1100m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1251.wav,58749
Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 6Cycle No 21Group Depth500m.wav,Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 6Cycle No 21Group Depth500m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 6Cycle No 21Group Depth500m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 6Cycle No 21Group Depth500m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1214.wav,58750
Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 9Cycle No 18Group Depth700m.wav,Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 9Cycle No 18Group Depth700m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 11Group Depth900m_Data 2 Target2No 9Cycle No 18Group Depth700m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 11Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 9Cycle No 18Group Depth700m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2100.wav,58749
Data 1 Target1No 10Cycle No 12Group Depth1000m_Data 2 Target2No 7Cycle No 4Group Depth700m.wav,Data 1 Target1No 10Cycle No 12Group Depth1000m_Data 2 Target2No 7Cycle No 4Group Depth700m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1000m_Data 2 Target2No 7Cycle No 4Group Depth700m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 7Cycle No 4Group Depth700m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise230.wav,58749
Data 1 Target1No 10Cycle No 12Group Depth1000m_Data 2 Target2No 9Cycle No 7Group Depth900m.wav,Data 1 Target1No 10Cycle No 12Group Depth1000m_Data 2 Target2No 9Cycle No 7Group Depth900m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1000m_Data 2 Target2No 9Cycle No 7Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 9Cycle No 7Group Depth900m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1562.wav,58749
Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 1Cycle No 14Group Depth1400m.wav,Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 1Cycle No 14Group Depth1400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 1Cycle No 14Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 1Cycle No 14Group Depth1400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2485.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 2Cycle No 18Group Depth900m.wav,Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 2Cycle No 18Group Depth900m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 2Cycle No 18Group Depth900m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 2Cycle No 18Group Depth900m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise641.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 5Cycle No 3Group Depth800m.wav,Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 5Cycle No 3Group Depth800m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1200m_Data 2 Target2No 5Cycle No 3Group Depth800m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 3Group Depth800m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise190.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1400m_Data 2 Target2No 8Cycle No 20Group Depth400m.wav,Data 1 Target1No 10Cycle No 12Group Depth1400m_Data 2 Target2No 8Cycle No 20Group Depth400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1400m_Data 2 Target2No 8Cycle No 20Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 8Cycle No 20Group Depth400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise60.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 18Group Depth600m.wav,Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 18Group Depth600m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 18Group Depth600m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 18Group Depth600m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2234.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 5Group Depth1200m.wav,Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 5Group Depth1200m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 5Group Depth1200m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 5Group Depth1200m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise321.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 7Group Depth1400m.wav,Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 7Group Depth1400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 5Cycle No 7Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 5Cycle No 7Group Depth1400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise2481.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 6Cycle No 8Group Depth1400m.wav,Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 6Cycle No 8Group Depth1400m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth1500m_Data 2 Target2No 6Cycle No 8Group Depth1400m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth1500m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 6Cycle No 8Group Depth1400m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise771.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth200m_Data 2 Target2No 1Cycle No 9Group Depth1300m.wav,Data 1 Target1No 10Cycle No 12Group Depth200m_Data 2 Target2No 1Cycle No 9Group Depth1300m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth200m_Data 2 Target2No 1Cycle No 9Group Depth1300m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 1Cycle No 9Group Depth1300m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise1067.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth200m_Data 2 Target2No 2Cycle No 12Group Depth200m.wav,Data 1 Target1No 10Cycle No 12Group Depth200m_Data 2 Target2No 2Cycle No 12Group Depth200m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth200m_Data 2 Target2No 2Cycle No 12Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth200m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 2Cycle No 12Group Depth200m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise527.wav,58750
Data 1 Target1No 10Cycle No 12Group Depth400m_Data 2 Target2No 1Cycle No 17Group Depth1000m.wav,Data 1 Target1No 10Cycle No 12Group Depth400m_Data 2 Target2No 1Cycle No 17Group Depth1000m,D:\Codes/Asteroid\Sanya\train\mix_both\Data 1 Target1No 10Cycle No 12Group Depth400m_Data 2 Target2No 1Cycle No 17Group Depth1000m.wav,D:\Codes\Asteroid\Sanya\train\s1\Data 1 Target1No 10Cycle No 12Group Depth400m.wav,D:\Codes\Asteroid\Sanya\train\s2\Data 2 Target2No 1Cycle No 17Group Depth1000m.wav,D:\Codes/Asteroid\Sanya\train\noise\noise513.wav,58749
